original_path	mtime_epoch	size_bytes	classification	destination
Outputs/cleanup-staging/2026-05-17-stale-files.tar.gz	1779006048	27664	stale report	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-17-stale-files.tar.gz
Outputs/cleanup-staging/2026-05-17/files/.clawhub/lock.json	1775877215	121	stale report	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-17/files/.clawhub/lock.json
Outputs/cleanup-staging/2026-05-17/files/Distilled_Lessons/2026-03-31.md	1777997931	654	stale report	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-17/files/Distilled_Lessons/2026-03-31.md
Outputs/cleanup-staging/2026-05-17/files/Distilled_Lessons/Distilled_Lessons__2026-05-05-completion-is-verified-state-not-milestone.md	1777981536	931	stale report	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-17/files/Distilled_Lessons/Distilled_Lessons__2026-05-05-completion-is-verified-state-not-milestone.md
Outputs/cleanup-staging/2026-05-17/files/Distilled_Lessons/Distilled_Lessons__2026-05-05-completion-requires-verified-state.md	1777981564	1976	stale report	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-17/files/Distilled_Lessons/Distilled_Lessons__2026-05-05-completion-requires-verified-state.md
Outputs/cleanup-staging/2026-05-17/files/Distilled_Lessons/Distilled_Lessons__2026-05-05-thorough-verification-before-completion.md	1777981248	1304	stale report	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-17/files/Distilled_Lessons/Distilled_Lessons__2026-05-05-thorough-verification-before-completion.md
Outputs/cleanup-staging/2026-05-17/files/event-log/minor-action-fallback.md	1777654071	662	stale report	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-17/files/event-log/minor-action-fallback.md
Outputs/cleanup-staging/2026-05-17/files/memory/migration-backups/20260516-daily-note-normalization/2026-05-05-request-timed-out-before-a-res.md	1778031128	32633	stale migrated backup	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-17/files/memory/migration-backups/20260516-daily-note-normalization/2026-05-05-request-timed-out-before-a-res.md
Outputs/cleanup-staging/2026-05-17/files/memory/migration-backups/20260516-daily-note-normalization/2026-05-07-closed-book.md	1778128073	17622	stale migrated backup	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-17/files/memory/migration-backups/20260516-daily-note-normalization/2026-05-07-closed-book.md
Outputs/cleanup-staging/2026-05-17/files/memory/migration-backups/20260516-daily-note-normalization/2026-05-08-trust-breach.md	1778274732	4999	stale migrated backup	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-17/files/memory/migration-backups/20260516-daily-note-normalization/2026-05-08-trust-breach.md
Outputs/cleanup-staging/2026-05-17/files/memory/migration-backups/20260516-daily-note-normalization/2026-05-10-0851.md	1778417491	3259	stale migrated backup	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-17/files/memory/migration-backups/20260516-daily-note-normalization/2026-05-10-0851.md
