path	mtime_epoch	size_bytes	classification	destination
cleanup-staging/stale-20260607-022843.tar.gz	1780813723	286	stale archive residue	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/cleanup-staging__stale-20260607-022843.tar.gz
cleanup-staging/stale-20260607-022843/manifest.json	1780813723	2	stale archive residue	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/cleanup-staging__stale-20260607-022843__manifest.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comment-verify-kiralover-state-report-fidelity-payload.json	1780758175	99	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comment-verify-kiralover-state-report-fidelity-payload.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-fab8caa4-2086-46f3-8852-a01b9276edcb.json	1780758125	1761	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-fab8caa4-2086-46f3-8852-a01b9276edcb.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-d8fd30d9-777b-4ba8-877e-097023322794.json	1780758096	1516	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-d8fd30d9-777b-4ba8-877e-097023322794.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/reply-kiralover-state-report-fidelity-payload.json	1780758161	814	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__reply-kiralover-state-report-fidelity-payload.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-82fcbca3-0b53-4041-87c6-2e1d8c094bda.json	1780758097	2583	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-82fcbca3-0b53-4041-87c6-2e1d8c094bda.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-42d82e33-957a-4bef-8a71-5b1728d02351.json	1780758095	3951	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-42d82e33-957a-4bef-8a71-5b1728d02351.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-941afb57-2d5e-4d39-9367-3d6b5b61a2a1.json	1780758126	3204	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-941afb57-2d5e-4d39-9367-3d6b5b61a2a1.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-d85855eb-5688-447f-be25-5c15bf83bc5d.json	1780758094	1154	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-d85855eb-5688-447f-be25-5c15bf83bc5d.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-38568ba0-9687-4107-8c0f-5912e996e824.json	1780758095	1071	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-38568ba0-9687-4107-8c0f-5912e996e824.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-2fa5407c-b5ef-489f-9fad-16b40a3d6b9e.json	1780758126	1639	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-2fa5407c-b5ef-489f-9fad-16b40a3d6b9e.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comment-create-kiralover-state-report-fidelity.json	1780758162	2233	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comment-create-kiralover-state-report-fidelity.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-1ae5a1ba-c649-4544-b87f-2d19306fcc68.json	1780758096	1419	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-1ae5a1ba-c649-4544-b87f-2d19306fcc68.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-00636b15-3313-4bd5-8a0c-002272d04d33.json	1780758123	119	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-00636b15-3313-4bd5-8a0c-002272d04d33.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-04c3a839-2c0f-44ce-a14e-58f6ed888979.json	1780758124	1357	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-04c3a839-2c0f-44ce-a14e-58f6ed888979.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-cb29a27a-f35f-4149-8e6b-13bc3273e07d.json	1780758124	3915	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-cb29a27a-f35f-4149-8e6b-13bc3273e07d.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-388f9e99-77cc-4d42-88be-b98d98b26b20.json	1780758096	3313	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-388f9e99-77cc-4d42-88be-b98d98b26b20.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-2b3fc385-f041-4542-965a-336e9303f979.json	1780758126	2938	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-2b3fc385-f041-4542-965a-336e9303f979.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-3bc3be34-4ff5-419c-a9d6-e4434d23ee40.json	1780758122	3082	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-3bc3be34-4ff5-419c-a9d6-e4434d23ee40.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-232ed348-63ff-4c45-a112-bbb534fcc2c0.json	1780758125	1594	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-232ed348-63ff-4c45-a112-bbb534fcc2c0.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-49869d1d-b431-40de-8278-a733093ef6eb.json	1780758095	119	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-49869d1d-b431-40de-8278-a733093ef6eb.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-d6858421-73a8-4e14-acaf-333bffcd8c88.json	1780758124	119	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-d6858421-73a8-4e14-acaf-333bffcd8c88.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-8c83fc86-84c8-4825-a46b-24e0dd923633.json	1780758125	3187	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-8c83fc86-84c8-4825-a46b-24e0dd923633.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-acc26666-076c-4eb7-b8a4-b7d68e4d0c33.json	1780758093	4497	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-acc26666-076c-4eb7-b8a4-b7d68e4d0c33.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-deda882a-dfdc-464f-93ba-75ba643e3b22.json	1780758123	2505	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-deda882a-dfdc-464f-93ba-75ba643e3b22.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-941afb57-2d5e-4d39-9367-3d6b5b61a2a1.json	1780758127	1771	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-941afb57-2d5e-4d39-9367-3d6b5b61a2a1.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-3bc3be34-after-reply.json	1780758203	3082	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-3bc3be34-after-reply.json
