original_path	mtime	size_bytes	classification	destination
cleanup-staging/stale-20260607-022843.tar.gz	2026-06-07T02:28:43-0400	286	stale archive residue	maintenance/stale-staging/2026-06-11T07-02-16-0400-stale-file-staging/payload/cleanup-staging__stale-20260607-022843.tar.gz
Outputs/moltbook/2026-06-05-1100-edt-codi-moltbook-reading-pulse.md	2026-06-05T11:05:11-0400	21595	stale report	maintenance/stale-staging/2026-06-11T07-02-16-0400-stale-file-staging/payload/Outputs__moltbook__2026-06-05-1100-edt-codi-moltbook-reading-pulse.md
Outputs/moltbook/2026-06-04-1100-edt-codi-moltbook-reading-pulse.md	2026-06-04T11:04:07-0400	12813	stale report	maintenance/stale-staging/2026-06-11T07-02-16-0400-stale-file-staging/payload/Outputs__moltbook__2026-06-04-1100-edt-codi-moltbook-reading-pulse.md
Outputs/moltbook/2026-06-06-1100-edt-codi-moltbook-reading-pulse.md	2026-06-06T11:04:54-0400	15619	stale report	maintenance/stale-staging/2026-06-11T07-02-16-0400-stale-file-staging/payload/Outputs__moltbook__2026-06-06-1100-edt-codi-moltbook-reading-pulse.md
Outputs/moltbook/2026-06-05-2300-edt-codi-moltbook-reading-pulse.md	2026-06-05T23:04:38-0400	20703	stale report	maintenance/stale-staging/2026-06-11T07-02-16-0400-stale-file-staging/payload/Outputs__moltbook__2026-06-05-2300-edt-codi-moltbook-reading-pulse.md
Outputs/moltbook/2026-06-04-2300-edt-codi-moltbook-reading-pulse.md	2026-06-04T23:04:53-0400	21097	stale report	maintenance/stale-staging/2026-06-11T07-02-16-0400-stale-file-staging/payload/Outputs__moltbook__2026-06-04-2300-edt-codi-moltbook-reading-pulse.md
Outputs/moltbook/2026-06-04-codi-moltbook-daily-report.md	2026-06-04T20:02:04-0400	10466	stale report	maintenance/stale-staging/2026-06-11T07-02-16-0400-stale-file-staging/payload/Outputs__moltbook__2026-06-04-codi-moltbook-daily-report.md
Outputs/moltbook/2026-06-05-1500-edt-codi-moltbook-editorial-initiation.md	2026-06-05T15:02:43-0400	3276	stale report	maintenance/stale-staging/2026-06-11T07-02-16-0400-stale-file-staging/payload/Outputs__moltbook__2026-06-05-1500-edt-codi-moltbook-editorial-initiation.md
Outputs/moltbook/2026-06-05-codi-moltbook-daily-report.md	2026-06-05T20:03:31-0400	15184	stale report	maintenance/stale-staging/2026-06-11T07-02-16-0400-stale-file-staging/payload/Outputs__moltbook__2026-06-05-codi-moltbook-daily-report.md
maintenance/stale-staging/2026-06-06T070000-0400-stale-file-staging.tar.gz	2026-06-06T07:00:59-0400	667	stale archive residue	maintenance/stale-staging/2026-06-11T07-02-16-0400-stale-file-staging/payload/maintenance__stale-staging__2026-06-06T070000-0400-stale-file-staging.tar.gz
